miRNA ID,donor1 2D,donor2 2D,donor1 3D,donor2 3D,Fold change,p-value
,Control Group-1,Control Group-2,Group 1-1,Group 1-2,,
hsa-let-7a-2-3p,0.041965379,0.013825464,0.028530418,0.021316033,0.89,
hsa-let-7a-3p,0.020982689,0.020109766,0.045187929,0.025486562,1.72,
hsa-let-7a-5p,33.75065571,27.47119695,72.27197817,48.8083874,1.98,
hsa-let-7b-3p,0.227312467,0.303741254,0.339884106,0.262743281,1.13,
hsa-let-7b-5p,29.96153174,16.85365956,66.94972621,49.22798888,2.48,
hsa-let-7c-3p,0.085679315,0.026813021,0.032783399,0.024559778,0.51,
hsa-let-7c-5p,3.341493268,2.699317106,2.28562315,2.265060241,0.75,
hsa-let-7d-3p,0.431893688,0.42691357,0.46322057,0.425162187,1.03,
hsa-let-7d-5p,1.248470012,1.15589258,1.12066063,1.021547729,0.89,
hsa-let-7e-3p,0.017485574,0.013825464,0.016834719,0.012974977,0.95,
hsa-let-7e-5p,3.979716734,3.056684402,7.234321561,5.471964782,1.81,
hsa-let-7f-1-3p,0.017485574,0.036029997,0.023214191,0.018535681,0.78,
hsa-let-7f-2-3p,0.132890365,0.568938791,0.059364534,0.081556997,0.2,
hsa-let-7f-5p,11.31491519,9.374083539,21.39710443,14.60727525,1.74,
hsa-let-7g-3p,0.031474034,0.017596045,0.02179653,0.019925857,0.85,
hsa-let-7g-5p,1.591187271,1.417319536,1.79263171,1.302826691,1.03,
hsa-let-7i-3p,0.034971149,0.015501278,0.065035176,0.038693234,2.06,
hsa-let-7i-5p,17.05193216,10.12442918,76.10550938,40.4768304,4.29,
hsa-miR-1-3p,0.118901906,0.08002011,0.092502348,0.085032437,0.89,
hsa-miR-1-5p,0.024479804,0.01089279,0.009392001,0.009962929,0.55,
hsa-miR-100-3p,0.020982689,0.014244417,0.048554872,0.028035218,2.17,
hsa-miR-100-5p,13.41493268,9.802672923,121.3329553,82.37650602,8.77,
hsa-miR-101-3p,0.947718133,0.806485399,0.993780015,0.661955514,0.94,
hsa-miR-101-5p,0.059450953,0.043152206,0.074249969,0.073215941,1.44,
hsa-miR-103a-2-5p,0.036719706,0.027650928,0.033669437,0.037534754,1.11,
hsa-miR-103a-3p,2.208428047,2.457162009,3.969626624,3.202038925,1.54,
hsa-miR-103b,0.563035496,0.279860907,0.430082756,0.377664504,0.96,
hsa-miR-105-3p,0.083930757,0.031002556,0.025872304,0.02386469,0.43,
hsa-miR-105-5p,0.038468264,0.034773137,0.077971328,0.025718258,1.42,
hsa-miR-106a-3p,0.040216821,0.016339185,0.014885435,0.010889713,0.46,
hsa-miR-106a-5p,0.043713936,0.036029997,0.032428984,0.017145505,0.62,
hsa-miR-106b-3p,0.377688407,0.310025556,0.342896635,0.370481928,1.04,
hsa-miR-106b-5p,0.111907676,0.043571159,0.02179653,0.021316033,0.28,
hsa-miR-107,0.811330652,0.56516821,0.776877957,0.616774791,1.01,
hsa-miR-10a-3p,0.080433642,0.071641041,0.234091191,0.160101946,2.59,
hsa-miR-10a-5p,1.683860815,1.386735934,7.0220269,4.822752549,3.86,
hsa-miR-10b-3p,0.253540829,0.077506389,0.194219489,0.140871177,1.01,
hsa-miR-10b-5p,3.953488372,4.273325234,10.58124081,8.048424467,2.26,
hsa-miR-1178-3p,0.124147578,0.016339185,0.012581737,0.009499537,0.16,
hsa-miR-1178-5p,0.024479804,0.015501278,0.013644982,0.008804449,0.56,
hsa-miR-1179,0.031474034,0.026394068,0.044656306,0.019462465,1.11,
hsa-miR-1180-3p,0.125896136,0.084209644,0.099590651,0.112140871,1.01,
hsa-miR-1180-5p,0.110159119,0.188110101,0.083819177,0.176784059,0.87,
hsa-miR-1181,1.787025704,3.96246177,2.685048998,3.65639481,1.1,
hsa-miR-1182,0.06119951,0.018433952,0.02764438,0.018999073,0.59,
hsa-miR-1183,0.195838433,0.087561272,0.055111552,0.054216867,0.39,
hsa-miR-1184,0.033222591,0.0242993,0.049086495,0.019925857,1.2,
hsa-miR-1185-1-3p,0.001748557,0.01089279,0.028530418,0.022011121,4,
hsa-miR-1185-2-3p,0.022731247,0.015501278,0.055465967,0.022937905,2.05,
hsa-miR-1185-5p,0.031474034,0.013825464,0.016303096,0.015060241,0.69,
hsa-miR-1193,0.057702396,0.019690812,0.031188531,0.010426321,0.54,
hsa-miR-1197,0.029725476,0.019690812,0.023568606,0.011816497,0.72,
hsa-miR-1199-3p,0.155621612,0.299132766,0.168347185,0.397358665,1.24,
hsa-miR-1199-5p,0.036719706,0.03393523,0.046073966,0.055143652,1.43,
hsa-miR-1200,0.076936527,0.030583602,0.020910492,0.032437442,0.5,
hsa-miR-1202,0.043713936,0.030583602,0.038276834,0.032900834,0.96,
hsa-miR-1203,0.260535059,0.097197201,0.038276834,0.043558851,0.23,
hsa-miR-1204,0.001748557,0.01089279,0.010278039,0.008109361,1.45,
hsa-miR-1205,0.047211051,0.022623487,0.056883628,0.022937905,1.14,
hsa-miR-1206,0.020982689,0.011311743,0.018252379,0.007414272,0.79,
hsa-miR-1207-3p,0.027976919,0.020528719,0.014708228,0.017145505,0.66,
hsa-miR-1207-5p,0.034971149,0.015920231,0.004961812,0.012974977,0.35,
hsa-miR-1208,0.059450953,0.08002011,0.06184544,0.096153846,1.13,
hsa-miR-122-3p,0.041965379,0.032678369,0.010809661,0.018072289,0.39,
hsa-miR-122-5p,8.957859766,6.558297373,2.358278251,4.309082484,0.43,
hsa-miR-1224-3p,0.027976919,0.041476392,0.020733285,0.03776645,0.84,
hsa-miR-1224-5p,0.281517748,0.451631824,0.249508249,0.28776645,0.73,
hsa-miR-1225-3p,0.085679315,0.101805689,0.009037586,0.049582947,0.31,
hsa-miR-1225-5p,0.055953838,0.023880347,0.011872907,0.014133457,0.33,
hsa-miR-1226-3p,0.001748557,0.020109766,0.019315624,0.013438369,1.5,
hsa-miR-1226-5p,0.031474034,0.014244417,0.014176605,0.012048193,0.57,
hsa-miR-1227-3p,0.055953838,0.025556161,0.01523985,0.015523633,0.38,
hsa-miR-1227-5p,0.019234132,0.017177092,0.015417058,0.016913809,0.89,
hsa-miR-1228-3p,0.034971149,0.029745695,0.011695699,0.018767377,0.47,
hsa-miR-1228-5p,0.295506207,0.671163434,0.216902057,0.359128823,0.6,
hsa-miR-1229-3p,0.064696625,0.039381625,0.018429587,0.030583874,0.47,
hsa-miR-1229-5p,0.164364399,0.064937785,0.045365136,0.056302132,0.44,
hsa-miR-1231,0.078685085,0.080858017,0.053871099,0.054680259,0.68,
hsa-miR-1233-3p,0.033222591,0.014663371,0.010278039,0.013670065,0.5,
hsa-miR-1233-5p,0.019234132,0.013825464,0.010278039,0.010658017,0.63,
hsa-miR-1234-3p,0.033222591,0.015501278,0.011872907,0.013206673,0.51,
hsa-miR-1236-3p,0.048959608,0.022623487,0.039871702,0.027108434,0.94,
hsa-miR-1236-5p,0.047211051,0.02178558,0.012404529,0.019925857,0.47,
hsa-miR-1237-3p,0.083930757,0.053207089,0.050681363,0.041936979,0.68,
hsa-miR-1237-5p,0.101416332,0.036448951,0.022682568,0.035217794,0.42,
hsa-miR-1238-3p,0.001748557,0.017596045,0.009392001,0.016450417,1.34,
hsa-miR-1238-5p,0.122399021,0.059910344,0.025695097,0.055607044,0.45,
hsa-miR-124-3p,0.027976919,0.030583602,0.024986266,0.026413346,0.88,
hsa-miR-124-5p,0.033222591,0.022623487,0.021619323,0.021316033,0.77,
hsa-miR-1243,0.069942298,0.025975114,0.037568003,0.014596849,0.54,
hsa-miR-1244,0.113656234,0.050274415,0.051567401,0.027571826,0.48,
hsa-miR-1245a,0.031474034,0.005865348,0.004252982,0.004865616,0.24,
hsa-miR-1245b-3p,0.038468264,0.030583602,0.018429587,0.021547729,0.58,
hsa-miR-1245b-5p,0.019234132,0.005027441,0.005493434,0.005329008,0.45,
hsa-miR-1246,0.311243224,0.084209644,2.166716875,1.190454124,8.49,
